Event Name,Log Generation Date,Risk Level,Policy ID,Aegis Subject,Event Type,Target,Action,Operation,Source host (endpoint),Source host IP address
Behaviour Monitoring,Jul 15 2020 05:38:47 GMT+00:00,0,3,C:\\Windows\\SECOH-QAD.exe,64,ZwWriteVirtualMemory,2,501,KHAN,192.168.10.13
Behaviour Monitoring,Jul 15 2020 08:45:18 GMT+00:00,0,3,C:\\Windows\\SECOH-QAD.exe,64,ZwWriteVirtualMemory,2,501,KHAN,192.168.1.145
