Event Name,Log Generation Date,Source Host Name,Target Process,File Name,Device Type,Permission
Device Access,Jul 15 2020 09:52:56 GMT+00:00,FARHAN-QA,C:\\Windows\\explorer.exe,E:\\autorun.inf,2,3
Device Access,Jul 15 2020 10:02:14 GMT+00:00,FARHAN-QA,C:\\Windows\\explorer.exe,E:\\Autorun.inf,2,3
Device Access,Jul 15 2020 09:22:44 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 09:37:21 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 09:39:58 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 09:40:56 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 09:41:01 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 09:42:32 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 09:46:54 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 09:46:58 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 09:51:02 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 09:59:01 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 09:59:24 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 09:59:33 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 10:01:25 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 10:02:11 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 10:03:44 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 10:04:39 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 10:04:55 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 10:05:08 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 10:05:28 GMT+00:00,FARHANWALI-PC,,,1,4
Device Access,Jul 15 2020 10:05:35 GMT+00:00,FARHANWALI-PC,,,1,4
