Id,Receiving Time,Generated Time,Service Facility,IPv4 Address,DeviceVendor,DeviceProduct,DeviceVersion,SignatureID,Name,Severity,EventId
38,2021-08-04 15:44:0,2021-08-04 15:44:03,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,38
39,2021-08-04 15:44:0,2021-08-04 15:44:03,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,39
40,2021-08-04 15:44:0,2021-08-04 15:44:03,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,40
41,2021-08-04 15:44:3,2021-08-04 15:44:38,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,41
42,2021-08-04 15:44:5,2021-08-04 15:44:59,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,42
43,2021-08-04 15:45:3,2021-08-04 15:45:34,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,43
44,2021-08-04 15:45:3,2021-08-04 15:45:34,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,632,Syslog Configuration Updated,3,44
45,2021-08-04 15:45:3,2021-08-04 15:45:34,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,45
46,2021-08-04 15:45:5,2021-08-04 15:45:54,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,46
47,2021-08-04 15:46:1,2021-08-04 15:46:14,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,47
48,2021-08-04 15:46:1,2021-08-04 15:46:14,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,48
49,2021-08-04 15:50:3,2021-08-04 15:50:30,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,49
50,2021-08-04 15:50:3,2021-08-04 15:50:35,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,50
51,2021-08-04 15:50:3,2021-08-04 15:50:35,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,51
52,2021-08-04 15:50:3,2021-08-04 15:50:35,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,52
53,2021-08-04 15:50:3,2021-08-04 15:50:35,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,53
54,2021-08-04 15:50:3,2021-08-04 15:50:35,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,54
55,2021-08-04 15:50:3,2021-08-04 15:50:35,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,55
56,2021-08-04 15:50:3,2021-08-04 15:50:35,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,56
57,2021-08-04 15:51:3,2021-08-04 15:51:35,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,57
58,2021-08-04 15:51:5,2021-08-04 15:51:50,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,58
59,2021-08-04 15:51:5,2021-08-04 15:51:50,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,59
60,2021-08-04 15:51:5,2021-08-04 15:51:50,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,60
61,2021-08-04 15:51:5,2021-08-04 15:51:55,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,61
62,2021-08-04 15:52:3,2021-08-04 15:52:36,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,62
63,2021-08-04 15:52:3,2021-08-04 15:52:36,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,352,Policy Updated,3,63
64,2021-08-04 15:52:3,2021-08-04 15:52:36,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,64
65,2021-08-04 15:52:3,2021-08-04 15:52:36,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,65
66,2021-08-04 15:52:4,2021-08-04 15:52:41,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,720,Policy Sent,3,66
67,2021-08-04 15:52:4,2021-08-04 15:52:46,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,67
68,2021-08-04 15:52:4,2021-08-04 15:52:46,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,68
69,2021-08-04 15:52:4,2021-08-04 15:52:46,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,69
70,2021-08-04 15:53:0,2021-08-04 15:53:01,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,610,User Session Validated,3,70
71,2021-08-04 15:53:0,2021-08-04 15:53:01,Syslog.Info,172.20.0.10,Trend Micro,Deep Security Manager,20.0.414,352,Policy Updated,3,71
