['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:27 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=172.19.0.38 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:27 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=192.168.90.12 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:27 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=172.19.0.32 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:27 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=172.19.0.37 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:27 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=192.168.90.10 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:28 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=172.19.0.34 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:28 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=172.19.0.36 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:28 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=192.168.80.2 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:28 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=172.19.0.35 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:29 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=192.168.10.220 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:53:31\tSyslog.Info\t172.20.0.10\tAug  4 15:53:29 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '710', 'Events Retrieved', '3', 'src=172.20.0.10 suser=System target=172.19.0.39 msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
