['2021-08-04 15:43:53\tSyslog.Info\t172.20.0.10\t2021-08-04T15:43:52+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:43:53\tSyslog.Info\t172.20.0.10\t2021-08-04T15:43:52+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:43:58\tSyslog.Info\t172.20.0.10\t2021-08-04T15:43:53+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:43:58\tSyslog.Info\t172.20.0.10\t2021-08-04T15:43:53+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:43:58\tSyslog.Info\t172.20.0.10\t2021-08-04T15:43:53+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:43:58\tSyslog.Info\t172.20.0.10\t2021-08-04T15:43:53+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:43:58\tSyslog.Info\t172.20.0.10\t2021-08-04T15:43:53+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:43:58\tSyslog.Info\t172.20.0.10\t2021-08-04T15:43:57+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:43:58\tSyslog.Info\t172.20.0.10\t2021-08-04T15:43:57+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:44:03\tSyslog.Info\t172.20.0.10\t2021-08-04T15:43:58+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:44:03\tSyslog.Info\t172.20.0.10\t2021-08-04T15:43:58+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:44:03\tSyslog.Info\t172.20.0.10\t2021-08-04T15:43:58+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:44:03\tSyslog.Info\t172.20.0.10\t2021-08-04T15:43:58+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:44:03\tSyslog.Info\t172.20.0.10\t2021-08-04T15:43:58+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:44:38\tSyslog.Info\t172.20.0.10\t2021-08-04T15:44:35+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:44:59\tSyslog.Info\t172.20.0.10\t2021-08-04T15:44:55+05:00 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:45:34\tSyslog.Info\t172.20.0.10\tAug  4 15:45:28 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:45:34\tSyslog.Info\t172.20.0.10\tAug  4 15:45:29 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:45:54\tSyslog.Info\t172.20.0.10\tAug  4 15:45:49 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:46:14\tSyslog.Info\t172.20.0.10\tAug  4 15:46:09 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:46:14\tSyslog.Info\t172.20.0.10\tAug  4 15:46:09 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:50:30\tSyslog.Info\t172.20.0.10\tAug  4 15:50:28 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:50:35\tSyslog.Info\t172.20.0.10\tAug  4 15:50:32 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:50:35\tSyslog.Info\t172.20.0.10\tAug  4 15:50:32 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=IP: 172.16.3.5 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
['2021-08-04 15:50:35\tSyslog.Info\t172.20.0.10\tAug  4 15:50:33 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Manager', '20.0.414', '610', 'User Session Validated', '3', 'src=172.20.0.10 suser=System target=MasterAdmin msg=Description Omitted TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 \n']
