['2021-08-04 16:12:46\tSyslog.Info\t172.20.0.10\tAug  4 16:08:09 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:12:46\tSyslog.Info\t172.20.0.10\tAug  4 16:09:26 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:12:46\tSyslog.Info\t172.20.0.10\tAug  4 16:10:42 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:12:46\tSyslog.Info\t172.20.0.10\tAug  4 16:12:03 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:22:12\tSyslog.Info\t172.20.0.10\tAug  4 16:13:20 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:22:12\tSyslog.Info\t172.20.0.10\tAug  4 16:14:36 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:22:12\tSyslog.Info\t172.20.0.10\tAug  4 16:15:57 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:22:12\tSyslog.Info\t172.20.0.10\tAug  4 16:17:14 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:22:12\tSyslog.Info\t172.20.0.10\tAug  4 16:18:30 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
['2021-08-04 16:22:12\tSyslog.Info\t172.20.0.10\tAug  4 16:19:51 TMDSSERVER CEF:0', 'Trend Micro', 'Deep Security Agent', '20.0.414', '3003987', 'Microsoft Windows Security Events - 2', '10', 'cn1=707 cn1Label=Host ID dvc=172.19.0.34 TrendMicroDsTenant=Primary TrendMicroDsTenantId=0 cs1=The service terminated unexpectedly cs1Label=LI Description fname=System duser=(no user) shost=SNDAPPQSServer msg=WinEvtLog: System: ERROR(7031): Service Control Manager: (no user): no domain: SNDAPPQSServer: The SyncFrameworkQueueProcessor service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 60000 milliseconds: Restart the service.  \n']
